drought_lvl,time_range,area_pct
D0,2001-2010,17.562799145299145
D0,2011-2021,16.24113232323232
D1,2001-2010,10.69093567251462
D1,2011-2021,10.252974747474747
D2,2001-2010,8.253439046333783
D2,2011-2021,6.632119191919191
D3,2001-2010,4.616072874493927
D3,2011-2021,3.611224242424243
D4,2001-2010,0.9077181736392264
D4,2011-2021,1.3719959595959597
