state_fips,state_name,drought_lvl,area_pct,time_range
24,Maryland,D1,6.940344827586207,2001-2021
24,Maryland,D2,3.145057471264368,2001-2021
24,Maryland,D3,1.1286877394636015,2001-2021
24,Maryland,D4,0.07453065134099617,2001-2021
24,Maryland,None,75.12860153256705,2001-2021
25,Massachusetts,D0,14.66897509578544,2001-2021
25,Massachusetts,D1,7.545555555555556,2001-2021
25,Massachusetts,D2,3.0796647509578543,2001-2021
25,Massachusetts,D3,0.8942145593869731,2001-2021
25,Massachusetts,D4,0.0,2001-2021
25,Massachusetts,None,73.81164750957855,2001-2021
26,Michigan,D0,16.61955938697318,2001-2021
26,Michigan,D1,6.556226053639847,2001-2021
26,Michigan,D2,1.885124521072797,2001-2021
26,Michigan,D3,0.13271072796934863,2001-2021
26,Michigan,D4,0.0,2001-2021
26,Michigan,None,74.80646551724138,2001-2021
27,Minnesota,D0,20.077021072796935,2001-2021
27,Minnesota,D1,11.405114942528735,2001-2021
27,Minnesota,D2,4.148208812260536,2001-2021
27,Minnesota,D3,2.262442528735632,2001-2021
27,Minnesota,D4,0.0,2001-2021
27,Minnesota,None,62.10716475095785,2001-2021
28,Mississippi,D0,15.723371647509579,2001-2021
28,Mississippi,D1,7.644157088122605,2001-2021
28,Mississippi,D2,3.146369731800766,2001-2021
28,Mississippi,D3,1.0875095785440612,2001-2021
28,Mississippi,D4,0.07971264367816092,2001-2021
28,Mississippi,None,72.3190804597701,2001-2021
29,Missouri,D0,15.542318007662836,2001-2021
29,Missouri,D1,9.395459770114943,2001-2021
29,Missouri,D2,3.7207758620689653,2001-2021
29,Missouri,D3,1.4461111111111111,2001-2021
29,Missouri,D4,0.14901340996168583,2001-2021
29,Missouri,None,69.74608237547893,2001-2021
30,Montana,D0,17.668400383141762,2001-2021
30,Montana,D1,12.781072796934867,2001-2021
30,Montana,D2,10.703323754789272,2001-2021
30,Montana,D3,7.638773946360153,2001-2021
30,Montana,D4,1.105,2001-2021
30,Montana,None,50.10338122605364,2001-2021
31,Nebraska,D0,17.757538314176244,2001-2021
31,Nebraska,D1,11.785727969348658,2001-2021
31,Nebraska,D2,8.755421455938697,2001-2021
31,Nebraska,D3,6.980986590038314,2001-2021
31,Nebraska,D4,2.885450191570881,2001-2021
31,Nebraska,None,51.83480842911877,2001-2021
32,Nevada,D0,15.719521072796935,2001-2021
32,Nevada,D1,20.998553639846744,2001-2021
32,Nevada,D2,21.772432950191572,2001-2021
32,Nevada,D3,13.174176245210727,2001-2021
32,Nevada,D4,2.6534291187739463,2001-2021
32,Nevada,None,25.68227969348659,2001-2021
33,New Hampshire,D0,14.194693486590038,2001-2021
33,New Hampshire,D1,6.3997030651341,2001-2021
33,New Hampshire,D2,3.783955938697318,2001-2021
33,New Hampshire,D3,0.33523946360153256,2001-2021
