year,drought_lvl,area_pct
2001,D0,18.089328703703703
2001,D1,8.291805555555555
2001,D2,7.153333333333334
2001,D3,5.451064814814815
2001,D4,0.0
2002,D0,16.444056603773586
2002,D1,9.76388888888889
2002,D2,14.082002096436058
2002,D3,10.920828092243186
2002,D4,2.0327044025157233
2003,D0,10.404700854700854
2003,D1,9.997905982905984
2003,D2,11.463824786324786
2003,D3,8.293012820512821
2003,D4,1.7299038461538463
2004,D0,12.064155982905982
2004,D1,7.202532051282051
2004,D2,7.79667735042735
2004,D3,6.376517094017094
2004,D4,1.0361858974358975
2005,D0,16.24520299145299
2005,D1,11.111570512820514
2005,D2,5.947435897435898
2005,D3,2.5563141025641025
2005,D4,0.4335363247863248
2006,D0,22.68287393162393
2006,D1,12.606346153846156
2006,D2,6.483034188034188
2006,D3,2.937094017094017
2006,D4,0.24311965811965813
2007,D0,22.19917735042735
2007,D1,15.70479700854701
2007,D2,11.72857905982906
2007,D3,6.193600427350427
2007,D4,2.3235897435897437
2008,D0,21.260607966457023
2008,D1,12.654706498951782
2008,D2,6.851037735849057
2008,D3,1.6517295597484276
2008,D4,0.5976729559748427
2009,D0,16.649476495726496
2009,D1,8.717970085470085
2009,D2,5.8309508547008555
2009,D3,0.5523931623931624
2009,D4,0.0
2010,D0,19.82232905982906
2010,D1,9.546057692307693
2010,D2,4.520032051282051
2010,D3,1.6135470085470085
2010,D4,0.17602564102564103
2011,D0,14.530608974358975
2011,D1,10.993194444444443
2011,D2,7.770074786324786
2011,D3,5.08392094017094
2011,D4,0.510844017094017
2012,D0,17.352628205128205
2012,D1,16.9092094017094
2012,D2,15.509433760683761
2012,D3,9.722339743589744
2012,D4,2.1523397435897436
2013,D0,17.81205450733753
2013,D1,14.695230607966456
2013,D2,12.880146750524109
2013,D3,4.197085953878407
2013,D4,0.885587002096436
2014,D0,14.470373931623932
2014,D1,6.676517094017094
2014,D2,6.067542735042736
2014,D3,2.961111111111111
2014,D4,2.064668803418803
2015,D0,18.89902777777778
2015,D1,11.344358974358974
2015,D2,4.193376068376068
2015,D3,2.204188034188034
2015,D4,2.4669978632478635
2016,D0,17.88969017094017
2016,D1,10.38073717948718
2016,D2,4.341912393162393
2016,D3,2.6421367521367523
2016,D4,1.9542521367521366
2017,D0,17.711826923076924
2017,D1,9.332724358974358
2017,D2,2.952638888888889
2017,D3,0.9425854700854701
2017,D4,0.02411324786324786
2018,D0,14.653995726495726
2018,D1,8.072991452991452
2018,D2,5.21241452991453
2018,D3,3.0190064102564103
2018,D4,0.7713675213675214
2019,D0,14.087494758909852
2019,D1,6.519046121593291
2019,D2,2.2387316561844863
2019,D3,0.3268763102725367
2019,D4,0.05427672955974843
2020,D0,14.66236111111111
2020,D1,8.38741452991453
2020,D2,5.1582371794871795
2020,D3,3.542222222222222
2020,D4,0.9290811965811966
2021,D0,16.895714285714288
2021,D1,8.775992063492064
2021,D2,6.559722222222222
2021,D3,6.439027777777778
2021,D4,4.976944444444444
