state_fips,drought_lvl,area_pct,area_total,pop_pct,pop_total
1.0,D0,16.710047892720308,9002529.59,16.10624521072797,803709762.01
1.0,D1,8.803429118773947,4742872.25,8.371130268199233,417723844.39
1.0,D2,5.459348659003831,2941230.15,5.225766283524904,260759918.93
1.0,D3,3.260383141762452,1756565.01,3.1408812260536396,156726827.23
1.0,D4,2.075038314176245,1117914.79,2.740469348659004,136751120.97
2.0,D0,16.433678160919538,99949964.75,21.243927203065134,157387099.95
2.0,D1,1.0401628352490422,6327433.6,2.074051724137931,15366978.790000001
2.0,D2,0.14407088122605363,875941.64,0.40171455938697315,2976425.02
2.0,D3,0.020498084291187737,124285.64,0.09802681992337164,726274.42
2.0,D4,0.0,0.0,0.0,0.0
4.0,D0,19.13653256704981,22782473.27,17.61287356321839,1175352142.48
4.0,D1,23.784588122605363,28316155.21,25.90700191570881,1728834136.81
4.0,D2,20.758994252873563,24714273.3,21.321340996168583,1422830343.28
4.0,D3,12.896053639846743,15353312.17,12.758007662835249,851384913.05
4.0,D4,3.4867720306513412,4151143.71,1.5347988505747125,102420372.27
5.0,D0,15.087164750957854,8373618.98,15.553840996168582,473496609.17
5.0,D1,9.348908045977012,5188829.54,9.477825670498085,288524452.52
5.0,D2,5.668860153256705,3146306.31,5.344281609195402,162688804.98
5.0,D3,2.154003831417625,1195527.91,2.050727969348659,62429837.7
5.0,D4,0.44657088122605365,247863.55,0.4748084291187739,14452802.34
6.0,D0,15.892605363984675,26239844.71,15.908706896551722,6187507992.46
6.0,D1,17.381082375478925,28697837.86,16.728419540229886,6506120260.28
6.0,D2,16.011561302681994,26435570.56,14.936197318007663,5809135814.61
6.0,D3,8.71241379310345,14384896.61,8.63897509578544,3360040370.17
6.0,D4,5.662289272030652,9348865.99,7.250478927203065,2819950087.98
8.0,D0,20.772892720306515,22585843.41,20.301015325670498,1065891313.47
8.0,D1,14.230526819923371,15472700.53,15.034233716475095,789374210.27
8.0,D2,13.164731800766283,14313590.76,10.020469348659004,526108996.32
8.0,D3,10.701503831417625,11635584.709999999,7.217337164750957,378947530.58
8.0,D4,2.7215996168582373,2959151.26,0.966963601532567,50763253.7
9.0,D0,16.381551724137932,851492.9400000001,16.088227969348658,600304376.94
9.0,D1,8.438285440613026,438608.87,8.001091954022987,298549077.86
9.0,D2,4.083036398467432,212229.2,4.394808429118775,163987224.21
9.0,D3,0.755411877394636,39263.14,0.8038026819923373,29993311.35
9.0,D4,0.0,0.0,0.0,0.0
10.0,D0,12.043275862068965,257745.26,11.753946360153257,110186886.16
10.0,D1,6.48191570881226,138725.85,5.026331417624521,47118086.74
10.0,D2,3.9643582375478927,84844.26,3.2391475095785442,30365222.57
10.0,D3,1.1439176245210727,24481.33,1.4308812260536399,13413724.89
10.0,D4,0.13034482758620689,2789.6499999999996,0.11599616858237548,1087418.4500000002
11.0,D0,12.038850574712644,7567.4400000000005,12.038850574712644,75627490.42
11.0,D1,10.593103448275862,6658.7,10.593103448275862,66545943.160000004
11.0,D2,3.1782662835249043,1997.83,3.1782662835249043,19965852.830000002
11.0,D3,0.9525287356321839,598.74,0.9525287356321839,5983697.57
11.0,D4,0.0,0.0,0.0,0.0
12.0,D0,17.21396551724138,10132822.92,16.83278735632184,3263070028.73
12.0,D1,8.953180076628353,5270175.74,8.438515325670497,1635841745.4
12.0,D2,4.6432183908045985,2733204.78,4.14992337164751,804472334.05
12.0,D3,1.8149137931034482,1068337.29,1.560191570881226,302432238.98
12.0,D4,0.18295977011494252,107693.77,0.17088122605363984,33127877.75
13.0,D0,16.996618773946363,10429590.25,15.751475095785441,1591075749.63
13.0,D1,10.89169540229885,6683531.7700000005,10.706503831417624,1081486296.09
13.0,D2,8.127174329501916,4987120.23,9.545450191570882,964202866.4
13.0,D3,6.773285440613027,4156353.37,6.8966379310344825,696649720.69
13.0,D4,2.3000766283524907,1411412.81,2.501302681992337,252667350.49
15.0,D0,28.264511494252876,1859653.86,32.043840996168576,455072254.44
15.0,D1,17.039722222222224,1121130.56,12.255239463601532,174040813.82
15.0,D2,8.0519061302682,529783.1,3.1494444444444443,44727405.86
15.0,D3,2.2433045977011496,147598.33,0.953955938697318,13549443.18
15.0,D4,0.16180076628352488,10640.050000000001,0.03810344827586207,540932.37
16.0,D0,21.63647509578544,18876936.27,22.86840038314176,374254455.12
16.0,D1,16.697969348659004,14568258.81,19.350593869731803,316681947.63
16.0,D2,13.406273946360153,11696369.05,13.063850574712644,213799446.34
16.0,D3,6.550296934865901,5714852.59,5.51286398467433,90221346.12
16.0,D4,1.45566091954023,1269964.42,1.2387931034482758,20272989.65
17.0,D0,12.698256704980842,7474576.35,10.487519157088123,1406636308.93
17.0,D1,5.932835249042146,3492365.45,5.693946360153256,763719030.66
17.0,D2,2.4644540229885057,1450716.34,3.1101628352490422,417136095.86
17.0,D3,1.2628831417624522,743363.81,1.4346264367816093,192420290.25
17.0,D4,0.0478544061302682,28168.34,0.010727969348659003,1440789.36
18.0,D0,12.484291187739464,4718071.5,12.313065134099617,833482961.07
18.0,D1,4.423362068965517,1671701.59,4.592021072796935,310835094.98
18.0,D2,1.550507662835249,585964.3,1.5984003831417624,108199189.73
18.0,D3,0.47616858237547893,179959.77000000002,0.45910919540229883,31075320.439999998
18.0,D4,0.1025095785440613,38735.22,0.06798850574712643,4602692.94
19.0,D0,14.36669540229885,8446110.08,13.486618773946361,423881457.32
19.0,D1,8.77375478927203,5158041.34,8.876781609195403,278993061.01
19.0,D2,5.531388888888889,3251889.94,5.267978927203066,165570685.04
